Species;scientific_name
Fauvette orphée;Sylvia hortensis
Fauvette grisette;Sylvia communis
Fauvette pitchou;Sylvia undata
Fauvette passerinette;Sylvia cantillans
Fauvette mélanocéphale;Sylvia melanocephala
Pouillot à grands sourcils;Phylloscopus inornatus
Pouillot de Bonelli;Phylloscopus bonelli
Pouillot siffleur;Phylloscopus sibilatrix
Pouillot véloce;Phylloscopus collybita
Pouillot fitis;Phylloscopus trochilus
Pouillot verdâtre;Phylloscopus trochiloides
Roitelet huppé;Regulus regulus
Roitelet à triple bandeau;Regulus ignicapilla
Gobemouche gris;Muscicapa striata
Gobemouche nain;Ficedula parva
Gobemouche à collier;Ficedula albicollis
Gobemouche noir;Ficedula hypoleuca
Panure à moustaches;Panurus biarmicus
Mésange à longue queue;Aegithalos caudatus
Mésange nonnette;Poecile palustris
Mésange boréale;Poecile montanus
Mésange huppée;Lophophanes cristatus
Mésange noire;Periparus ater
Mésange bleue;Cyanistes caeruleus
Mésange charbonnière;Parus major
Sittelle torchepot;Sitta europaea
Tichodrome échelette;Tichodroma muraria
Grimpereau des bois;Certhia familiaris
Grimpereau des jardins;Certhia brachydactyla
Rémiz penduline;Remiz pendulinus
Loriot d'Europe;Oriolus oriolus
Pie-grièche écorcheur;Lanius collurio
Pie-grièche à poitrine rose;Lanius minor
Pie-grièche grise;Lanius excubitor
Pie-grièche à tête rousse;Lanius senator
Geai des chênes;Garrulus glandarius
Pie bavarde;Pica pica
Cassenoix moucheté;Nucifraga caryocatactes
Choucas des tours;Coloeus monedula
Corbeau freux;Corvus frugilegus
Corneille noire;Corvus corone
Corneille noire x mantelée hybride;Corvus corone x cornix
Grand Corbeau;Corvus corax
Étourneau sansonnet;Sturnus vulgaris
Étourneau roselin;Pastor roseus
Moineau domestique;Passer domesticus
Moineau friquet;Passer montanus
Moineau soulcie;Petronia petronia
Pinson des arbres;Fringilla coelebs
Pinson du Nord;Fringilla montifringilla
Serin cini;Serinus serinus
Venturon montagnard;Carduelis citrinella
Verdier d'Europe;Carduelis chloris
Chardonneret élégant;Carduelis carduelis
Tarin des aulnes;Carduelis spinus
Linotte mélodieuse;Carduelis cannabina
Sizerin flammé;Carduelis flammea
Bec-croisé des sapins;Loxia curvirostra
Bouvreuil pivoine;Pyrrhula pyrrhula
Grosbec casse-noyaux;Coccothraustes coccothraustes
Bruant des neiges;Plectrophenax nivalis
Bruant jaune;Emberiza citrinella
Bruant mélanocéphale;Emberiza melanocephala
Bruant zizi;Emberiza cirlus
Bruant fou;Emberiza cia
Bruant ortolan;Emberiza hortulana
Bruant nain;Emberiza pusilla
Bruant des roseaux;Emberiza schoeniclus
Bruant proyer;Emberiza calandra
Cygne noir;Cygnus atratus
Oie cygnoïde;Anser cygnoides
Canard mandarin;Aix galericulata
Canard carolin;Aix sponsa
Calonette à collier noir;Calonetta leucophrys
Harle couronné;Lophodytes cucullatus
Grue demoiselle;Grus virgo
Pélican frisé;Pelecanus crispus
Paon bleu;Pavo cristatus
Colin de Virginie;Colinus virginianus
Pygargue à tête blanche;Haliaeetus leucocephalus
Tourterelle rose et gris;Streptopelia roseogrisea
Calopsitte élégante;Nymphicus hollandicus
Perruche ondulée;Melopsittacus undulatus
Perruche de Pennant;Platycercus elegans
Perroquet jaco ou gris du Gabon;Psittacus erithacus
Inséparable de Fischer;Agapornis fischeri
Inséparable à face rose;Agapornis roseicollis
Conure veuve;Myiopsitta monachus
Perroquet youyou;Poicephalus senegalus
Léiothrix jaune;Leiothrix lutea
Corbeau familier;Corvus splendens
Astrild ondulé;Estrilda astrild
Capucin damier;Lonchura punctulata
Capucin à dos marron;Lonchura malacca sinensis
Serin du Mozambique;Serinus mozambicus
Roselin à longue queue;Uragus sibiricus
;
;
;
;
